req_id	source_section	source_group	source_item	subcategory	owner	phase	feature	mctash_default	mctash_posix	tests	notes
BPOSIX.CORE.011	6.11.2	core-posix-mode	11	parse-grammar	parser	parse	Function names may not be the same as one of the POSIX special builtins.	partial	partial	bash-posix-doc-011.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 11.
BPOSIX.CORE.012	6.11.2	core-posix-mode	12	expansion-redir	expand	expand	Tilde expansion is only performed on assignments preceding a command name, rather than on all assignment statements on the line.	partial	partial	bash-posix-doc-012.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 12.
BPOSIX.CORE.013	6.11.2	core-posix-mode	13	expansion-redir	expand	expand	While variable indirection is available, it may not be applied to the ‘#’ and ‘?’ special parameters.	partial	partial	bash-posix-doc-013.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 13.
BPOSIX.CORE.014	6.11.2	core-posix-mode	14	expansion-redir	expand	expand	Expanding the ‘*’ special parameter in a pattern context where the expansion is double-quoted does not treat the ‘$*’ as if it were double-quoted.	partial	partial	bash-posix-doc-014.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 14.
BPOSIX.CORE.015	6.11.2	core-posix-mode	15	parse-grammar	parser	parse	"A double quote character (‘""’) is treated specially when it appears in a backquoted command substitution in the body of a here-document that undergoes expansion.  That means, for example, that a backslash preceding a double quote character will escape it and the backslash will be removed."	partial	partial	bash-posix-doc-015.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 15.
BPOSIX.CORE.016	6.11.2	core-posix-mode	16	parse-grammar	parser	parse	Command substitutions don't set the ‘?’ special parameter.  The exit status of a simple command without a command word is still the exit status of the last command substitution that occurred while evaluating the variable assignments and redirections in that command, but that does not happen until after all of the assignments and redirections.	partial	partial	bash-posix-doc-016.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 16.
BPOSIX.CORE.017	6.11.2	core-posix-mode	17	expansion-redir	expand	expand	Literal tildes that appear as the first character in elements of the ‘PATH’ variable are not expanded as described above under *note Tilde Expansion::.	partial	partial	bash-posix-doc-017.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 17.
BPOSIX.CORE.018	6.11.2	core-posix-mode	18	builtins	runtime	exec	Command lookup finds POSIX special builtins before shell functions, including output printed by the ‘type’ and ‘command’ builtins.	partial	partial	bash-posix-doc-018.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 18.
BPOSIX.CORE.019	6.11.2	core-posix-mode	19	misc-posix-mode	runtime	exec	Even if a shell function whose name contains a slash was defined before entering POSIX mode, the shell will not execute a function whose name contains one or more slashes.	partial	partial	bash-posix-doc-019.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 19.
BPOSIX.CORE.020	6.11.2	core-posix-mode	20	expansion-redir	expand	expand	When a command in the hash table no longer exists, Bash will re-search ‘$PATH’ to find the new location.  This is also available with ‘shopt -s checkhash’.	partial	partial	bash-posix-doc-020.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 20.
BPOSIX.CORE.021	6.11.2	core-posix-mode	21	expansion-redir	expand	expand	Bash will not insert a command without the execute bit set into the command hash table, even if it returns it as a (last-ditch) result from a ‘$PATH’ search.	partial	partial	bash-posix-doc-021.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 21.
BPOSIX.CORE.022	6.11.2	core-posix-mode	22	jobs-signals	runtime	exec	The message printed by the job control code and builtins when a job exits with a non-zero status is 'Done(status)'.	partial	partial	bash-posix-doc-022.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 22.
BPOSIX.CORE.023	6.11.2	core-posix-mode	23	jobs-signals	runtime	exec	The message printed by the job control code and builtins when a job is stopped is 'Stopped(SIGNAME)', where SIGNAME is, for example, ‘SIGTSTP’.	partial	partial	bash-posix-doc-023.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 23.
BPOSIX.CORE.024	6.11.2	core-posix-mode	24	jobs-signals	runtime	exec	If the shell is interactive, Bash does not perform job notifications between executing commands in lists separated by ‘;’ or newline.  Non-interactive shells print status messages after a foreground job in a list completes.	partial	partial	bash-posix-doc-024.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 24.
BPOSIX.CORE.025	6.11.2	core-posix-mode	25	jobs-signals	runtime	exec	If the shell is interactive, Bash waits until the next prompt before printing the status of a background job that changes status or a foreground job that terminates due to a signal. Non-interactive shells print status messages after a foreground job completes.	partial	partial	bash-posix-doc-025.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 25.
BPOSIX.CORE.026	6.11.2	core-posix-mode	26	jobs-signals	runtime	exec	Bash permanently removes jobs from the jobs table after notifying the user of their termination via the ‘wait’ or ‘jobs’ builtins. It removes the job from the jobs list after notifying the user of its termination, but the status is still available via ‘wait’, as long as ‘wait’ is supplied a PID argument.	partial	partial	bash-posix-doc-026.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 26.
BPOSIX.CORE.027	6.11.2	core-posix-mode	27	builtins	runtime	exec	The ‘vi’ editing mode will invoke the ‘vi’ editor directly when the ‘v’ command is run, instead of checking ‘$VISUAL’ and ‘$EDITOR’.	partial	partial	bash-posix-doc-027.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 27.
BPOSIX.CORE.028	6.11.2	core-posix-mode	28	expansion-redir	expand	expand	Prompt expansion enables the POSIX ‘PS1’ and ‘PS2’ expansions of ‘!’ to the history number and ‘!!’ to ‘!’, and Bash performs parameter expansion on the values of ‘PS1’ and ‘PS2’ regardless of the setting of the ‘promptvars’ option.	partial	partial	bash-posix-doc-028.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 28.
BPOSIX.CORE.029	6.11.2	core-posix-mode	29	interactive	runtime	interactive	The default history file is ‘~/.sh_history’ (this is the default value the shell assigns to ‘$HISTFILE’).	partial	partial	bash-posix-doc-029.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 29.
BPOSIX.CORE.030	6.11.2	core-posix-mode	30	interactive	runtime	interactive	The ‘!’ character does not introduce history expansion within a double-quoted string, even if the ‘histexpand’ option is enabled.	partial	partial	bash-posix-doc-030.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 30.
BPOSIX.CORE.031	6.11.2	core-posix-mode	31	parse-grammar	parser	parse	When printing shell function definitions (e.g., by ‘type’), Bash does not print the ‘function’ reserved word unless necessary.	partial	partial	bash-posix-doc-031.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 31.
BPOSIX.CORE.032	6.11.2	core-posix-mode	32	interactive	runtime	interactive	Non-interactive shells exit if a syntax error in an arithmetic expansion results in an invalid expression.	partial	partial	bash-posix-doc-032.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 32.
BPOSIX.CORE.033	6.11.2	core-posix-mode	33	expansion-redir	expand	expand	Non-interactive shells exit if a parameter expansion error occurs.	partial	partial	bash-posix-doc-033.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 33.
BPOSIX.CORE.034	6.11.2	core-posix-mode	34	expansion-redir	expand	expand	If a POSIX special builtin returns an error status, a non-interactive shell exits.  The fatal errors are those listed in the POSIX standard, and include things like passing incorrect options, redirection errors, variable assignment errors for assignments preceding the command name, and so on.	partial	partial	bash-posix-doc-034.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 34.
BPOSIX.CORE.035	6.11.2	core-posix-mode	35	builtins	runtime	exec	A non-interactive shell exits with an error status if a variable assignment error occurs when no command name follows the assignment statements.  A variable assignment error occurs, for example, when trying to assign a value to a readonly variable.	partial	partial	bash-posix-doc-035.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 35.
BPOSIX.CORE.036	6.11.2	core-posix-mode	36	builtins	runtime	exec	"A non-interactive shell exits with an error status if a variable assignment error occurs in an assignment statement preceding a special builtin, but not with any other simple command.  For any other simple command, the shell aborts execution of that command, and execution continues at the top level (""the shell shall not perform any further processing of the command in which the error occurred"")."	partial	partial	bash-posix-doc-036.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 36.
BPOSIX.CORE.037	6.11.2	core-posix-mode	37	builtins	runtime	exec	A non-interactive shell exits with an error status if the iteration variable in a ‘for’ statement or the selection variable in a ‘select’ statement is a readonly variable or has an invalid name.	partial	partial	bash-posix-doc-037.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 37.
BPOSIX.CORE.038	6.11.2	core-posix-mode	38	interactive	runtime	interactive	Non-interactive shells exit if FILENAME in ‘.’ FILENAME is not found.	partial	partial	bash-posix-doc-038.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 38.
BPOSIX.CORE.039	6.11.2	core-posix-mode	39	builtins	runtime	exec	Non-interactive shells exit if there is a syntax error in a script read with the ‘.’ or ‘source’ builtins, or in a string processed by the ‘eval’ builtin.	partial	partial	bash-posix-doc-039.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 39.
BPOSIX.CORE.040	6.11.2	core-posix-mode	40	builtins	runtime	exec	Non-interactive shells exit if the ‘export’, ‘readonly’ or ‘unset’ builtin commands get an argument that is not a valid identifier, and they are not operating on shell functions.  These errors force an exit because these are special builtins.	partial	partial	bash-posix-doc-040.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 40.
BPOSIX.CORE.041	6.11.2	core-posix-mode	41	builtins	runtime	exec	Assignment statements preceding POSIX special builtins persist in the shell environment after the builtin completes.	partial	partial	bash-posix-doc-041.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 41.
BPOSIX.CORE.042	6.11.2	core-posix-mode	42	builtins	runtime	exec	The ‘command’ builtin does not prevent builtins that take assignment statements as arguments from expanding them as assignment statements; when not in POSIX mode, declaration commands lose their assignment statement expansion properties when preceded by ‘command’.	partial	partial	bash-posix-doc-042.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 42.
BPOSIX.CORE.043	6.11.2	core-posix-mode	43	parse-grammar	parser	parse	Enabling POSIX mode has the effect of setting the ‘inherit_errexit’ option, so subshells spawned to execute command substitutions inherit the value of the ‘-e’ option from the parent shell.  When the ‘inherit_errexit’ option is not enabled, Bash clears the ‘-e’ option in such subshells.	partial	partial	bash-posix-doc-043.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 43.
BPOSIX.CORE.044	6.11.2	core-posix-mode	44	expansion-redir	expand	expand	Enabling POSIX mode has the effect of setting the ‘shift_verbose’ option, so numeric arguments to ‘shift’ that exceed the number of positional parameters will result in an error message.	partial	partial	bash-posix-doc-044.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 44.
BPOSIX.CORE.045	6.11.2	core-posix-mode	45	interactive	runtime	interactive	Enabling POSIX mode has the effect of setting the ‘interactive_comments’ option (*note Comments::).	partial	partial	bash-posix-doc-045.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 45.
BPOSIX.CORE.046	6.11.2	core-posix-mode	46	expansion-redir	expand	expand	The ‘.’ and ‘source’ builtins do not search the current directory for the filename argument if it is not found by searching ‘PATH’.	partial	partial	bash-posix-doc-046.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 46.
BPOSIX.CORE.047	6.11.2	core-posix-mode	47	parse-grammar	parser	parse	When the ‘alias’ builtin displays alias definitions, it does not display them with a leading ‘alias ’ unless the ‘-p’ option is supplied.	partial	partial	bash-posix-doc-047.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 47.
BPOSIX.CORE.048	6.11.2	core-posix-mode	48	jobs-signals	runtime	exec	The ‘bg’ builtin uses the required format to describe each job placed in the background, which does not include an indication of whether the job is the current or previous job.	partial	partial	bash-posix-doc-048.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 48.
BPOSIX.CORE.049	6.11.2	core-posix-mode	49	expansion-redir	expand	expand	When the ‘cd’ builtin is invoked in logical mode, and the pathname constructed from ‘$PWD’ and the directory name supplied as an argument does not refer to an existing directory, ‘cd’ will fail instead of falling back to physical mode.	partial	partial	bash-posix-doc-049.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 49.
BPOSIX.CORE.050	6.11.2	core-posix-mode	50	expansion-redir	expand	expand	When the ‘cd’ builtin cannot change a directory because the length of the pathname constructed from ‘$PWD’ and the directory name supplied as an argument exceeds ‘PATH_MAX’ when canonicalized, ‘cd’ will attempt to use the supplied directory name.	partial	partial	bash-posix-doc-050.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 50.
BPOSIX.CORE.051	6.11.2	core-posix-mode	51	builtins	runtime	exec	When the ‘xpg_echo’ option is enabled, Bash does not attempt to interpret any arguments to ‘echo’ as options.  ‘echo’ displays each argument after converting escape sequences.	partial	partial	bash-posix-doc-051.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 51.
BPOSIX.CORE.052	6.11.2	core-posix-mode	52	builtins	runtime	exec	The ‘export’ and ‘readonly’ builtin commands display their output in the format required by POSIX.	partial	partial	bash-posix-doc-052.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 52.
BPOSIX.CORE.053	6.11.2	core-posix-mode	53	builtins	runtime	exec	When listing the history, the ‘fc’ builtin does not include an indication of whether or not a history entry has been modified.	covered	covered	bash-posix-doc-053.sh	Strict comparator probe validates `fc -l` list status and absence of `*` modified markers. Source: bash/POSIX 6.11.2 item 53.
BPOSIX.CORE.054	6.11.2	core-posix-mode	54	builtins	runtime	exec	The default editor used by ‘fc’ is ‘ed’.	covered	covered	bash-posix-doc-054.sh	Comparator-backed row probe for default-editor lane (`fc -e -`) now strict on status shape under harness constraints. Source: bash/POSIX 6.11.2 item 54.
BPOSIX.CORE.055	6.11.2	core-posix-mode	55	builtins	runtime	exec	‘fc’ treats extra arguments as an error instead of ignoring them.	covered	covered	bash-posix-doc-055.sh	Strict comparator probe asserts failure status + stderr presence for extra-arg `fc` invocation. Source: bash/POSIX 6.11.2 item 55.
BPOSIX.CORE.056	6.11.2	core-posix-mode	56	builtins	runtime	exec	If there are too many arguments supplied to ‘fc -s’, ‘fc’ prints an error message and returns failure.	covered	covered	bash-posix-doc-056.sh	Strict comparator probe asserts failure status + stderr presence for over-arg `fc -s` invocation. Source: bash/POSIX 6.11.2 item 56.
BPOSIX.CORE.057	6.11.2	core-posix-mode	57	misc-posix-mode	runtime	exec	The output of ‘kill -l’ prints all the signal names on a single line, separated by spaces, without the ‘SIG’ prefix.	partial	partial	bash-posix-doc-057.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 57.
BPOSIX.CORE.058	6.11.2	core-posix-mode	58	builtins	runtime	exec	The ‘kill’ builtin does not accept signal names with a ‘SIG’ prefix.	partial	partial	bash-posix-doc-058.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 58.
BPOSIX.CORE.059	6.11.2	core-posix-mode	59	jobs-signals	runtime	exec	The ‘kill’ builtin returns a failure status if any of the pid or job arguments are invalid or if sending the specified signal to any of them fails.  In default mode, ‘kill’ returns success if the signal was successfully sent to any of the specified processes.	partial	partial	bash-posix-doc-059.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 59.
BPOSIX.CORE.060	6.11.2	core-posix-mode	60	builtins	runtime	exec	The ‘printf’ builtin uses ‘double’ (via ‘strtod’) to convert arguments corresponding to floating point conversion specifiers, instead of ‘long double’ if it's available.  The ‘L’ length modifier forces ‘printf’ to use ‘long double’ if it's available.	partial	partial	bash-posix-doc-060.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 60.
BPOSIX.CORE.061	6.11.2	core-posix-mode	61	builtins	runtime	exec	The ‘pwd’ builtin verifies that the value it prints is the same as the current directory, even if it is not asked to check the file system with the ‘-P’ option.	partial	partial	bash-posix-doc-061.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 61.
BPOSIX.CORE.062	6.11.2	core-posix-mode	62	builtins	runtime	exec	The ‘read’ builtin may be interrupted by a signal for which a trap has been set.  If Bash receives a trapped signal while executing ‘read’, the trap handler executes and ‘read’ returns an exit status greater than 128.	partial	partial	bash-posix-doc-062.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 62.
BPOSIX.CORE.063	6.11.2	core-posix-mode	63	builtins	runtime	exec	When the ‘set’ builtin is invoked without options, it does not display shell function names and definitions.	partial	partial	bash-posix-doc-063.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 63.
BPOSIX.CORE.064	6.11.2	core-posix-mode	64	builtins	runtime	exec	When the ‘set’ builtin is invoked without options, it displays variable values without quotes, unless they contain shell metacharacters, even if the result contains nonprinting characters.	partial	partial	bash-posix-doc-064.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 64.
BPOSIX.CORE.065	6.11.2	core-posix-mode	65	builtins	runtime	exec	The ‘test’ builtin compares strings using the current locale when evaluating the ‘<’ and ‘>’ binary operators.	partial	partial	bash-posix-doc-065.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 65.
BPOSIX.CORE.066	6.11.2	core-posix-mode	66	builtins	runtime	exec	The ‘test’ builtin's ‘-t’ unary primary requires an argument. Historical versions of ‘test’ made the argument optional in certain cases, and Bash attempts to accommodate those for backwards compatibility.	partial	partial	bash-posix-doc-066.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 66.
BPOSIX.CORE.067	6.11.2	core-posix-mode	67	builtins	runtime	exec	The ‘trap’ builtin displays signal names without the leading ‘SIG’.	partial	partial	bash-posix-doc-067.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 67.
BPOSIX.CORE.068	6.11.2	core-posix-mode	68	builtins	runtime	exec	The ‘trap’ builtin doesn't check the first argument for a possible signal specification and revert the signal handling to the original disposition if it is, unless that argument consists solely of digits and is a valid signal number.  If users want to reset the handler for a given signal to the original disposition, they should use ‘-’ as the first argument.	partial	partial	bash-posix-doc-068.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 68.
BPOSIX.CORE.069	6.11.2	core-posix-mode	69	misc-posix-mode	runtime	exec	‘trap -p’ without arguments displays signals whose dispositions are set to SIG_DFL and those that were ignored when the shell started, not just trapped signals.	partial	partial	bash-posix-doc-069.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 69.
BPOSIX.CORE.070	6.11.2	core-posix-mode	70	expansion-redir	expand	expand	The ‘type’ and ‘command’ builtins will not report a non-executable file as having been found, though the shell will attempt to execute such a file if it is the only so-named file found in ‘$PATH’.	partial	partial	bash-posix-doc-070.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 70.
BPOSIX.CORE.071	6.11.2	core-posix-mode	71	builtins	runtime	exec	The ‘ulimit’ builtin uses a block size of 512 bytes for the ‘-c’ and ‘-f’ options.	partial	partial	bash-posix-doc-071.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 71.
BPOSIX.CORE.072	6.11.2	core-posix-mode	72	builtins	runtime	exec	The ‘unset’ builtin with the ‘-v’ option specified returns a fatal error if it attempts to unset a ‘readonly’ or ‘non-unsettable’ variable, which causes a non-interactive shell to exit.	partial	partial	bash-posix-doc-072.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 72.
BPOSIX.CORE.073	6.11.2	core-posix-mode	73	builtins	runtime	exec	"When asked to unset a variable that appears in an assignment statement preceding the command, the ‘unset’ builtin attempts to unset a variable of the same name in the current or previous scope as well.  This implements the required ""if an assigned variable is further modified by the utility, the modifications made by the utility shall persist"" behavior."	partial	partial	bash-posix-doc-073.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 73.
BPOSIX.CORE.074	6.11.2	core-posix-mode	74	jobs-signals	runtime	exec	The arrival of ‘SIGCHLD’ when a trap is set on ‘SIGCHLD’ does not interrupt the ‘wait’ builtin and cause it to return immediately. The trap command is run once for each child that exits.	partial	partial	bash-posix-doc-074.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 74.
BPOSIX.CORE.075	6.11.2	core-posix-mode	75	builtins	runtime	exec	Bash removes an exited background process's status from the list of such statuses after the ‘wait’ builtin returns it.	partial	partial	bash-posix-doc-075.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 75.
BPOSIX.EXTRA.001	6.11.2	additional-not-by-default	1	expansion-redir	expand	expand	POSIX requires that word splitting be byte-oriented.  That is, each _byte_ in the value of ‘IFS’ potentially splits a word, even if that byte is part of a multibyte character in ‘IFS’ or part of multibyte character in the word.  Bash allows multibyte characters in the value of ‘IFS’, treating a valid multibyte character as a single delimiter, and will not split a valid multibyte character even if one of the bytes composing that character appears in ‘IFS’. This is POSIX interpretation 1560, further modified by issue 1924.	partial	out_of_scope	bash-posix-doc-extra-001.sh	Requires explicit strict-posix-default policy decision before parity claim; Source: bash/POSIX 6.11.2 additional-behavior item 1 (numbering restarts).
BPOSIX.EXTRA.002	6.11.2	additional-not-by-default	2	builtins	runtime	exec	The ‘fc’ builtin checks ‘$EDITOR’ as a program to edit history entries if ‘FCEDIT’ is unset, rather than defaulting directly to ‘ed’.  ‘fc’ uses ‘ed’ if ‘EDITOR’ is unset.	covered	covered	bash-posix-doc-extra-002.sh	Strict comparator probe validates EDITOR fallback path when FCEDIT is unset by observing deterministic editor invocation marker. Source: bash/POSIX 6.11.2 additional-behavior item 2 (numbering restarts).
BPOSIX.EXTRA.003	6.11.2	additional-not-by-default	3	builtins	runtime	exec	As noted above, Bash requires the ‘xpg_echo’ option to be enabled for the ‘echo’ builtin to be fully conformant.	partial	out_of_scope	bash-posix-doc-extra-003.sh	Requires explicit strict-posix-default policy decision before parity claim; Source: bash/POSIX 6.11.2 additional-behavior item 3 (numbering restarts).
