topic	req_id	source	source_ref	subcategory	feature	mctash_default	mctash_posix	tests	notes
builtin:break	BCOMPAT.44.002	bash-compat-doc	bash/COMPAT level 44 item 2	compat-delta	a subshell inherits loops from its parent context, so `break' or `continue' will cause the subshell to exit. Bash-5.0 and later reset the loop state to prevent the exit	partial	partial	bash-compat-doc-44-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat44 item 2; compatibility deltas are cumulative.
builtin:break	C5.BUILTIN.BREAK	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	break	covered	covered	man-bash-posix-06-loop-control	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:builtin	C5.BUILTIN.BUILTIN	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	builtin	covered	covered	man-bash-posix-07-builtin-dispatch	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:caller	C5.BUILTIN.CALLER	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	caller	covered	covered	man-bash-posix-11-extension-builtins-core	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:cd	BPOSIX.CORE.049	bash-posix-doc	bash/POSIX 6.11.2 item 49	expansion-redir	When the ‘cd’ builtin is invoked in logical mode, and the pathname constructed from ‘$PWD’ and the directory name supplied as an argument does not refer to an existing directory, ‘cd’ will fail instead of falling back to physical mode.	covered	covered	bash-posix-doc-049.sh	Strict comparator case validates POSIX mode behavior for case row 49.
builtin:cd	BPOSIX.CORE.050	bash-posix-doc	bash/POSIX 6.11.2 item 50	expansion-redir	When the ‘cd’ builtin cannot change a directory because the length of the pathname constructed from ‘$PWD’ and the directory name supplied as an argument exceeds ‘PATH_MAX’ when canonicalized, ‘cd’ will attempt to use the supplied directory name.	covered	covered	bash-posix-doc-050.sh	Strict comparator case validates POSIX mode behavior for case row 50.
builtin:cd	C5.BUILTIN.CD	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	cd	covered	covered	man-bash-posix-02-path-command	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:command	BCOMPAT.31.001	bash-compat-doc	bash/COMPAT level 31 item 1	compat-delta	the < and > operators to the [[ command do not consider the current locale when comparing strings; they use ASCII ordering	partial	partial	bash-compat-doc-31-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat31 item 1; compatibility deltas are cumulative.
builtin:command	BCOMPAT.31.002	bash-compat-doc	bash/COMPAT level 31 item 2	compat-delta	quoting the rhs of the [[ command's regexp matching operator (=~) has no special effect	partial	partial	bash-compat-doc-31-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat31 item 2; compatibility deltas are cumulative.
builtin:command	BCOMPAT.32.001	bash-compat-doc	bash/COMPAT level 32 item 1	compat-delta	the < and > operators to the [[ command do not consider the current locale when comparing strings; they use ASCII ordering	partial	partial	bash-compat-doc-32-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat32 item 1; compatibility deltas are cumulative.
builtin:command	BCOMPAT.40.001	bash-compat-doc	bash/COMPAT level 40 item 1	compat-delta	the < and > operators to the [[ command do not consider the current locale when comparing strings; they use ASCII ordering. Bash versions prior to bash-4.1 use ASCII collation and strcmp(3); bash-4.1 and later use the current locale's collation sequence and strcoll(3).	partial	partial	bash-compat-doc-40-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat40 item 1; compatibility deltas are cumulative.
builtin:command	BCOMPAT.43.001	bash-compat-doc	bash/COMPAT level 43 item 1	compat-delta	word expansion errors are considered non-fatal errors that cause the current command to fail, even in posix mode (the default behavior is to make them fatal errors that cause the shell to exit)	partial	partial	bash-compat-doc-43-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat43 item 1; compatibility deltas are cumulative.
builtin:command	BCOMPAT.50.002	bash-compat-doc	bash/COMPAT level 50 item 2	compat-delta	If the command hash table is empty, bash versions prior to bash-5.1 printed an informational message to that effect even when writing output in a format that can be reused as input (-l). Bash-5.1 suppresses that message if -l is supplied	partial	partial	bash-compat-doc-50-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat50 (set using BASH_COMPAT) item 2; compatibility deltas are cumulative.
builtin:command	BCOMPAT.51.003	bash-compat-doc	bash/COMPAT level 51 item 3	compat-delta	expressions used as arguments to arithmetic operators in the [[ conditional command can be expanded more than once	partial	partial	bash-compat-doc-51-003.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 3; compatibility deltas are cumulative.
builtin:command	BCOMPAT.51.004	bash-compat-doc	bash/COMPAT level 51 item 4	compat-delta	indexed and associative array subscripts used as arguments to the operators in the [[ conditional command (e.g., `[[ -v') can be expanded more than once. Bash-5.2 behaves as if the `assoc_expand_once' option were enabled.	partial	partial	bash-compat-doc-51-004.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 4; compatibility deltas are cumulative.
builtin:command	BCOMPAT.51.010	bash-compat-doc	bash/COMPAT level 51 item 10	compat-delta	Parsing command substitutions will act as if extended glob is enabled, so that parsing a command substitution containing an extglob pattern (say, as part of a shell function) will not fail. This assumes the intent is to enable extglob before the command is executed and word expansions are performed. It will fail at word expansion time if extglob hasn't been enabled by the time the command is executed.	partial	partial	bash-compat-doc-51-010.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 10; compatibility deltas are cumulative.
builtin:command	BPOSIX.CORE.006	bash-posix-doc	bash/POSIX 6.11.2 item 6	parse-grammar	The ‘time’ reserved word may be used by itself as a simple command. When used in this way, it displays timing statistics for the shell and its completed children. The ‘TIMEFORMAT’ variable controls the format of the timing information.	covered	covered	bash-posix-doc-006.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 6.
builtin:command	BPOSIX.CORE.012	bash-posix-doc	bash/POSIX 6.11.2 item 12	expansion-redir	Tilde expansion is only performed on assignments preceding a command name, rather than on all assignment statements on the line.	covered	covered	bash-posix-doc-012.sh	Comparator parity: tilde expansion in assignment context aligns in POSIX lane.
builtin:command	BPOSIX.CORE.015	bash-posix-doc	bash/POSIX 6.11.2 item 15	parse-grammar	"A double quote character (‘""’) is treated specially when it appears in a backquoted command substitution in the body of a here-document that undergoes expansion. That means, for example, that a backslash preceding a double quote character will escape it and the backslash will be removed."	covered	covered	bash-posix-doc-015.sh	Comparator parity: startup expansion behavior with ENV/BASH_ENV aligns in POSIX lane.
builtin:command	BPOSIX.CORE.016	bash-posix-doc	bash/POSIX 6.11.2 item 16	parse-grammar	Command substitutions don't set the ‘?’ special parameter. The exit status of a simple command without a command word is still the exit status of the last command substitution that occurred while evaluating the variable assignments and redirections in that command, but that does not happen until after all of the assignments and redirections.	covered	covered	bash-posix-doc-016.sh	Comparator parity: history save policy when HISTFILE unwritable aligns in POSIX lane.
builtin:command	BPOSIX.CORE.020	bash-posix-doc	bash/POSIX 6.11.2 item 20	expansion-redir	When a command in the hash table no longer exists, Bash will re-search ‘$PATH’ to find the new location. This is also available with ‘shopt -s checkhash’.	covered	covered	bash-posix-doc-020.sh	Strict comparator probe validates stale-hash re-search behavior through path replacement sequence; Source: bash/POSIX 6.11.2 item 20.
builtin:command	BPOSIX.CORE.021	bash-posix-doc	bash/POSIX 6.11.2 item 21	expansion-redir	Bash will not insert a command without the execute bit set into the command hash table, even if it returns it as a (last-ditch) result from a ‘$PATH’ search.	covered	covered	bash-posix-doc-021.sh	Strict comparator probe validates non-executable PATH entry semantics for command lookup, hash table population, and execution diagnostics class; Source: bash/POSIX 6.11.2 item 21.
builtin:command	BPOSIX.CORE.027	bash-posix-doc	bash/POSIX 6.11.2 item 27	builtins	The ‘vi’ editing mode will invoke the ‘vi’ editor directly when the ‘v’ command is run, instead of checking ‘$VISUAL’ and ‘$EDITOR’.	partial	partial	bash-posix-doc-027.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 27.
builtin:command	BPOSIX.CORE.034	bash-posix-doc	bash/POSIX 6.11.2 item 34	expansion-redir	If a POSIX special builtin returns an error status, a non-interactive shell exits. The fatal errors are those listed in the POSIX standard, and include things like passing incorrect options, redirection errors, variable assignment errors for assignments preceding the command name, and so on.	covered	covered	bash-posix-doc-034.sh	Strict semantic parity case: special builtin option error causes non-interactive shell exit.
builtin:command	BPOSIX.CORE.035	bash-posix-doc	bash/POSIX 6.11.2 item 35	builtins	A non-interactive shell exits with an error status if a variable assignment error occurs when no command name follows the assignment statements. A variable assignment error occurs, for example, when trying to assign a value to a readonly variable.	covered	covered	bash-posix-doc-035.sh	Strict semantic parity case: assignment-only readonly error is fatal in non-interactive shell.
builtin:command	BPOSIX.CORE.036	bash-posix-doc	bash/POSIX 6.11.2 item 36	builtins	"A non-interactive shell exits with an error status if a variable assignment error occurs in an assignment statement preceding a special builtin, but not with any other simple command. For any other simple command, the shell aborts execution of that command, and execution continues at the top level (""the shell shall not perform any further processing of the command in which the error occurred"")."	covered	covered	bash-posix-doc-036.sh	Strict semantic parity case: readonly assignment before non-special command is non-fatal; before special builtin is fatal.
builtin:command	BPOSIX.CORE.042	bash-posix-doc	bash/POSIX 6.11.2 item 42	builtins	The ‘command’ builtin does not prevent builtins that take assignment statements as arguments from expanding them as assignment statements; when not in POSIX mode, declaration commands lose their assignment statement expansion properties when preceded by ‘command’.	covered	covered	bash-posix-doc-042.sh	Strict comparator case validates `command` with declaration builtins preserves assignment effects.
builtin:command	BPOSIX.CORE.043	bash-posix-doc	bash/POSIX 6.11.2 item 43	parse-grammar	Enabling POSIX mode has the effect of setting the ‘inherit_errexit’ option, so subshells spawned to execute command substitutions inherit the value of the ‘-e’ option from the parent shell. When the ‘inherit_errexit’ option is not enabled, Bash clears the ‘-e’ option in such subshells.	covered	covered	bash-posix-doc-043.sh	Strict comparator case validates POSIX mode PATH command search behavior.
builtin:command	C2.GRAM.001	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	simple command	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:command	C2.GRAM.008	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	compound command: ( list ) subshell	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:command	C2.GRAM.009	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	compound command: { list; } grouping	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:command	C2.GRAM.022	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	[[ conditional command ]]	covered	covered	bash-man-grammar-core.sh,man-ash-grammar-word-matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:command	C2.GRAM.023	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	(( arithmetic command ))	covered	covered	bash-man-grammar-core.sh,man-ash-grammar-word-matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:command	C2.GRAM.024	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	coproc command	covered	covered	bash-man-grammar-select-coproc.sh	coproc parser/runtime path added; mapped evidence run passes.
builtin:command	C2.GRAM.026	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	newline as command separator	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:command	C3.EXP.021	bash-man	bash(1) section QUOTING + PARAMETERS + EXPANSION	expansion	command substitution $(cmd)	covered	covered	bash-man-expansion-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:command	C3.EXP.030	bash-man	bash(1) section QUOTING + PARAMETERS + EXPANSION	expansion	command substitution newline trimming	covered	covered	bash-man-expansion-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:command	C5.BUILTIN.COMMAND	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	command	covered	covered	man-bash-posix-02-path-command	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:command	C7.INT.11	bash-man	bash(1) section PROMPTING + Shell Variables	interactive	PS1 parameter/command/arithmetic expansion at prompt render time (promptvars)	covered	covered	run_interactive_ux_matrix.sh	Interactive UX matrix now validates prompt-time interpolation for `${debian_chroot:+...}` with prompt escape decoding.
builtin:command	C8.JOB.13	bash-man	bash(1) section SIGNALS + JOB CONTROL	jobs-signals	interactive Ctrl-C during foreground external command returns prompt and keeps shell alive	covered	covered	run_interactive_sigint_matrix.sh	Strict deterministic lane validates foreground-command SIGINT interruption and shell continuity. Literal `^C` PTY lane is retained as informational due environment-dependent control-character translation.
builtin:command	C9.COMP.01	bash-man	bash(1) section SHELL COMPATIBILITY MODE + RESTRICTED SHELL	compatibility	restricted shell command/path assignment limits	covered	covered	run_startup_mode_matrix.sh,man-bash-posix-08-declare-posix-policy.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:compgen	C5.BUILTIN.COMPGEN	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	compgen	covered	covered	bash-builtin-completion	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:compgen	C7.INT.08	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	programmable completion complete/compgen/compopt	covered	covered	run_completion_interactive_matrix.sh,bash-builtin-completion.sh	Strict PTY interactive comparator evidence passes via run_interactive_ux_matrix.sh and run_completion_interactive_matrix.sh.
builtin:complete	C5.BUILTIN.COMPLETE	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	complete	covered	covered	bash-builtin-completion	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:compopt	C5.BUILTIN.COMPOPT	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	compopt	covered	covered	bash-builtin-completion	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:continue	BCOMPAT.44.003	bash-compat-doc	bash/COMPAT level 44 item 3	compat-delta	variable assignments preceding builtins like export and readonly that set attributes continue to affect variables with the same name in the calling environment even if the shell is not in posix mode	partial	partial	bash-compat-doc-44-003.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat44 item 3; compatibility deltas are cumulative.
builtin:continue	C5.BUILTIN.CONTINUE	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	continue	covered	covered	man-bash-posix-06-loop-control	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:declare	C10.STATE.01	bash-man	bash(1) section PARAMETERS + Shell Variables	state-model	variables assignment attributes (declare/local/typeset)	covered	covered	bash-man-variables-surface.sh,man-bash-posix-14-env-exec-flow.sh,bash-builtin-declare-typeset-local.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:declare	C5.BUILTIN.DECLARE	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	declare	covered	covered	man-bash-posix-08-declare-posix-policy	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:dirs	C5.BUILTIN.DIRS	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	dirs	covered	covered	bash-builtin-dirstack	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:disown	C5.BUILTIN.DISOWN	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	disown	covered	covered	bash-builtin-disown	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:echo	BPOSIX.CORE.051	bash-posix-doc	bash/POSIX 6.11.2 item 51	builtins	When the ‘xpg_echo’ option is enabled, Bash does not attempt to interpret any arguments to ‘echo’ as options. ‘echo’ displays each argument after converting escape sequences.	covered	covered	bash-posix-doc-051.sh	Strict comparator case validates xpg_echo interaction in POSIX lane.
builtin:echo	BPOSIX.EXTRA.003	bash-posix-doc	bash/POSIX 6.11.2 item 3	builtins	As noted above, Bash requires the ‘xpg_echo’ option to be enabled for the ‘echo’ builtin to be fully conformant.	partial	out_of_scope	bash-posix-doc-extra-003.sh	Requires explicit strict-posix-default policy decision before parity claim; Source: bash/POSIX 6.11.2 additional-behavior item 3 (numbering restarts).
builtin:echo	C5.BUILTIN.ECHO	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	echo	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:enable	C5.BUILTIN.ENABLE	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	enable	covered	covered	bash-builtin-enable	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:eval	C5.BUILTIN.EVAL	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	eval	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:exec	C5.BUILTIN.EXEC	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	exec	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:exec	C7.INT.07	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	fc editor/list/re-exec flows	covered	covered	run_interactive_ux_matrix.sh,man-bash-posix-12-history-suspend-logout.sh	Strict PTY interactive comparator evidence passes via run_interactive_ux_matrix.sh and run_completion_interactive_matrix.sh.
builtin:exit	BPOSIX.CORE.032	bash-posix-doc	bash/POSIX 6.11.2 item 32	interactive	Non-interactive shells exit if a syntax error in an arithmetic expansion results in an invalid expression.	covered	covered	bash-posix-doc-032.sh	Strict semantic parity case: arithmetic expansion syntax error in non-interactive shell exits before post-line.
builtin:exit	BPOSIX.CORE.033	bash-posix-doc	bash/POSIX 6.11.2 item 33	expansion-redir	Non-interactive shells exit if a parameter expansion error occurs.	covered	covered	bash-posix-doc-033.sh	Strict semantic parity case: parameter expansion error in non-interactive shell exits before post-line.
builtin:exit	BPOSIX.CORE.038	bash-posix-doc	bash/POSIX 6.11.2 item 38	interactive	Non-interactive shells exit if FILENAME in ‘.’ FILENAME is not found.	covered	covered	bash-posix-doc-038.sh	Strict semantic parity case: missing dot/source file is fatal in non-interactive shell.
builtin:exit	C5.BUILTIN.EXIT	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	exit	covered	covered	man-bash-posix-09-return-exit	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:exit	C8.JOB.09	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	EXIT trap semantics	covered	covered	man-ash-trap-signal-matrix.sh,man-ash-trap-delivery.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:exit	C8.JOB.27	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	`exit` with stopped jobs warns once; second exit terminates stopped jobs	covered	covered	run_job_exitwarn_matrix.sh	Interactive strict exitwarn matrix now covers first-exit warning continuation and second-exit stopped-job termination (pid liveness parity check).; design:docs/design/job-control-runtime-model.md
builtin:export	BPOSIX.CORE.040	bash-posix-doc	bash/POSIX 6.11.2 item 40	builtins	Non-interactive shells exit if the ‘export’, ‘readonly’ or ‘unset’ builtin commands get an argument that is not a valid identifier, and they are not operating on shell functions. These errors force an exit because these are special builtins.	covered	covered	bash-posix-doc-040.sh	Strict semantic parity case: invalid identifier to special builtins exits non-interactive shell.
builtin:export	BPOSIX.CORE.052	bash-posix-doc	bash/POSIX 6.11.2 item 52	builtins	The ‘export’ and ‘readonly’ builtin commands display their output in the format required by POSIX.	covered	covered	bash-posix-doc-052.sh	Strict comparator case validates export/readonly print behavior with `-p` in POSIX lane.
builtin:export	C10.STATE.02	bash-man	bash(1) section PARAMETERS + Shell Variables	state-model	readonly/export attribute propagation	covered	covered	bash-man-variables-surface.sh,man-bash-posix-14-env-exec-flow.sh,bash-builtin-declare-typeset-local.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:export	C10.STATE.04	bash-man	bash(1) section PARAMETERS + Shell Variables	state-model	environment import/export behavior	covered	covered	bash-man-variables-surface.sh,man-bash-posix-14-env-exec-flow.sh,bash-builtin-declare-typeset-local.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:export	C5.BUILTIN.EXPORT	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	export	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:false	C5.BUILTIN.FALSE	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	false	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:fc	BPOSIX.CORE.053	bash-posix-doc	bash/POSIX 6.11.2 item 53	builtins	When listing the history, the ‘fc’ builtin does not include an indication of whether or not a history entry has been modified.	covered	covered	bash-posix-doc-053.sh	Strict comparator probe validates `fc -l` list status and absence of `*` modified markers. Source: bash/POSIX 6.11.2 item 53.
builtin:fc	BPOSIX.CORE.054	bash-posix-doc	bash/POSIX 6.11.2 item 54	builtins	The default editor used by ‘fc’ is ‘ed’.	covered	covered	bash-posix-doc-054.sh	Comparator-backed row probe for default-editor lane (`fc -e -`) now strict on status shape under harness constraints. Source: bash/POSIX 6.11.2 item 54.
builtin:fc	BPOSIX.CORE.055	bash-posix-doc	bash/POSIX 6.11.2 item 55	builtins	‘fc’ treats extra arguments as an error instead of ignoring them.	covered	covered	bash-posix-doc-055.sh	Strict comparator probe asserts failure status + stderr presence for extra-arg `fc` invocation. Source: bash/POSIX 6.11.2 item 55.
builtin:fc	BPOSIX.CORE.056	bash-posix-doc	bash/POSIX 6.11.2 item 56	builtins	If there are too many arguments supplied to ‘fc -s’, ‘fc’ prints an error message and returns failure.	covered	covered	bash-posix-doc-056.sh	Strict comparator probe asserts failure status + stderr presence for over-arg `fc -s` invocation. Source: bash/POSIX 6.11.2 item 56.
builtin:fc	BPOSIX.EXTRA.002	bash-posix-doc	bash/POSIX 6.11.2 item 2	builtins	The ‘fc’ builtin checks ‘$EDITOR’ as a program to edit history entries if ‘FCEDIT’ is unset, rather than defaulting directly to ‘ed’. ‘fc’ uses ‘ed’ if ‘EDITOR’ is unset.	covered	covered	bash-posix-doc-extra-002.sh	Strict comparator probe validates EDITOR fallback path when FCEDIT is unset by observing deterministic editor invocation marker. Source: bash/POSIX 6.11.2 additional-behavior item 2 (numbering restarts).
builtin:fc	C5.BUILTIN.FC	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	fc	covered	covered	man-ash-fc	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:fc	C5.BUILTIN.FC.EMPTY	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	fc empty-history behavior	covered	covered	man-ash-fc-empty-history	Strict comparator case covers empty-history behavior for list/edit/reexec/substitute forms.
