req_id	category	subcategory	feature_type	feature	posix_mode_status	mctash_default	mctash_posix	tests	notes
C2.GRAM.027	2	grammar.core	grammar	comments in interactive/non-interactive modes	changed	unknown	unknown		
C2.GRAM.028	2	grammar.core	grammar	here-doc grammar attachment and queueing	changed	unknown	unknown		
C3.EXP.001	3	expansion	expansion	brace expansion {a,b}	extension	missing	missing		brace expansion currently literal.
C3.EXP.002	3	expansion	expansion	tilde expansion ~ and ~user	present	unknown	unknown		
C3.EXP.003	3	expansion	expansion	parameter expansion $name ${name}	present	unknown	unknown		
C3.EXP.004	3	expansion	expansion	special parameters $* $@ $# $? $- $$ $! $0	present	unknown	unknown		
C3.EXP.005	3	expansion	expansion	positional parameters $1..${N}	present	unknown	unknown		
C3.EXP.006	3	expansion	expansion	parameter default operators ${v-word} ${v:-word}	present	unknown	unknown		
C3.EXP.007	3	expansion	expansion	parameter assign operators ${v=word} ${v:=word}	present	unknown	unknown		
C3.EXP.008	3	expansion	expansion	parameter error operators ${v?word} ${v:?word}	present	unknown	unknown		
C3.EXP.009	3	expansion	expansion	parameter alternate operators ${v+word} ${v:+word}	present	unknown	unknown		
C3.EXP.010	3	expansion	expansion	substring expansion ${v:offset} ${v:offset:length}	present	unknown	unknown		
C3.EXP.011	3	expansion	expansion	length expansion ${#v}	present	unknown	unknown		
C3.EXP.012	3	expansion	expansion	prefix trim ${v#pat} ${v##pat}	present	unknown	unknown		
C3.EXP.013	3	expansion	expansion	suffix trim ${v%pat} ${v%%pat}	present	unknown	unknown		
C3.EXP.014	3	expansion	expansion	replacement ${v/pat/repl} ${v//pat/repl}	present	unknown	unknown		
C3.EXP.015	3	expansion	expansion	case modification ${v^} ${v^^} ${v,} ${v,,}	extension	unknown	unknown		
C3.EXP.016	3	expansion	expansion	transformation operator ${v@op}	extension	unknown	unknown		
C3.EXP.017	3	expansion	expansion	indirection ${!name}	extension	unknown	unknown		
C3.EXP.018	3	expansion	expansion	name expansion ${!prefix*} ${!prefix@}	extension	unknown	unknown		
C3.EXP.019	3	expansion	expansion	array subscript expansion ${a[i]} ${a[@]} ${a[*]}	present	unknown	unknown		
C3.EXP.020	3	expansion	expansion	array slicing ${a[@]:o:l}	present	unknown	unknown		
C3.EXP.021	3	expansion	expansion	command substitution $(cmd)	present	unknown	unknown		
C3.EXP.022	3	expansion	expansion	backtick substitution `cmd`	present	unknown	unknown		
C3.EXP.023	3	expansion	expansion	arithmetic expansion $((expr))	present	unknown	unknown		
C3.EXP.024	3	expansion	expansion	process substitution <(cmd) >(cmd)	extension	unknown	unknown		
C3.EXP.025	3	expansion	expansion	word splitting using IFS	present	unknown	unknown		
C3.EXP.026	3	expansion	expansion	pathname expansion (globbing)	extension	unknown	unknown		
C3.EXP.027	3	expansion	expansion	quote removal	present	unknown	unknown		
C3.EXP.028	3	expansion	expansion	ANSI-C quoting $'...'	extension	unknown	unknown		
C3.EXP.029	3	expansion	expansion	"locale translation quoting $""..."""	extension	missing	missing		"$""..."" locale translation quoting currently not implemented."
C3.EXP.030	3	expansion	expansion	command substitution newline trimming	present	unknown	unknown		
C3.EXP.031	3	expansion	expansion	expansion order as documented in EXPANSION	present	unknown	unknown		
C4.REDIR.001	4	redirection	redirection	[n]<word input redirection	present	unknown	unknown		
C4.REDIR.002	4	redirection	redirection	[n]>word output redirection	present	unknown	unknown		
C4.REDIR.003	4	redirection	redirection	[n]>>word append redirection	present	unknown	unknown		
C4.REDIR.004	4	redirection	redirection	[n]<>word read/write redirection	present	unknown	unknown		
C4.REDIR.005	4	redirection	redirection	[n]>&word duplicate output fd	present	unknown	unknown		
C4.REDIR.006	4	redirection	redirection	[n]<&word duplicate input fd	present	unknown	unknown		
C4.REDIR.007	4	redirection	redirection	[n]>&- close output fd	present	unknown	unknown		
C4.REDIR.008	4	redirection	redirection	[n]<&- close input fd	present	unknown	unknown		
C4.REDIR.009	4	redirection	redirection	[n]>|word noclobber override	present	unknown	unknown		
C4.REDIR.010	4	redirection	redirection	here-document <<word	present	unknown	unknown		
C4.REDIR.011	4	redirection	redirection	here-document with tab-strip <<-word	present	unknown	unknown		
C4.REDIR.012	4	redirection	redirection	here-string <<<word	extension	missing	missing		here-string <<< currently parse-error path.
C4.REDIR.013	4	redirection	redirection	redirect stdout+stderr &>word	extension	unknown	unknown		
C4.REDIR.014	4	redirection	redirection	append stdout+stderr &>>word	extension	unknown	unknown		
C4.REDIR.015	4	redirection	redirection	move fd [n]>&digit- and [n]<&digit-	present	unknown	unknown		
C4.REDIR.016	4	redirection	redirection	named-fd redirection {varname}<word and family	extension	unknown	unknown		
C4.REDIR.017	4	redirection	redirection	/dev/fd/N pseudo-path redirection	present	unknown	unknown		
C4.REDIR.018	4	redirection	redirection	/dev/stdin /dev/stdout /dev/stderr handling	present	unknown	unknown		
C4.REDIR.019	4	redirection	redirection	/dev/tcp/host/port redirection	extension	unknown	unknown		
C4.REDIR.020	4	redirection	redirection	/dev/udp/host/port redirection	extension	unknown	unknown		
C4.REDIR.021	4	redirection	redirection	redirection ordering left-to-right	present	unknown	unknown		
C5.BUILTIN.DOT	5	builtin.command	builtin	.	present	covered	covered	man-bash-posix-05-dot-source	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.COLON	5	builtin.command	builtin	:	present	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.LBRACK	5	builtin.command	builtin	[	present	unknown	unknown		
C5.BUILTIN.ALIAS	5	builtin.command	builtin	alias	extension	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.BG	5	builtin.command	builtin	bg	extension	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.BIND	5	builtin.command	builtin	bind	extension	covered	covered	bash-builtin-completion	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.BREAK	5	builtin.command	builtin	break	present	covered	covered	man-bash-posix-06-loop-control	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.BUILTIN	5	builtin.command	builtin	builtin	extension	covered	covered	man-bash-posix-07-builtin-dispatch	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.CALLER	5	builtin.command	builtin	caller	extension	covered	covered	man-bash-posix-11-extension-builtins-core	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.CD	5	builtin.command	builtin	cd	present	covered	covered	man-bash-posix-02-path-command	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.COMMAND	5	builtin.command	builtin	command	extension	covered	covered	man-bash-posix-02-path-command	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.COMPGEN	5	builtin.command	builtin	compgen	extension	covered	covered	bash-builtin-completion	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.COMPLETE	5	builtin.command	builtin	complete	extension	covered	covered	bash-builtin-completion	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.COMPOPT	5	builtin.command	builtin	compopt	extension	covered	covered	bash-builtin-completion	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.CONTINUE	5	builtin.command	builtin	continue	present	covered	covered	man-bash-posix-06-loop-control	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.DECLARE	5	builtin.command	builtin	declare	extension	covered	covered	man-bash-posix-08-declare-posix-policy	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.DIRS	5	builtin.command	builtin	dirs	extension	covered	covered	bash-builtin-dirstack	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.DISOWN	5	builtin.command	builtin	disown	extension	covered	covered	bash-builtin-disown	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.ECHO	5	builtin.command	builtin	echo	extension	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.ENABLE	5	builtin.command	builtin	enable	extension	covered	covered	bash-builtin-enable	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.EVAL	5	builtin.command	builtin	eval	present	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.EXEC	5	builtin.command	builtin	exec	present	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.EXIT	5	builtin.command	builtin	exit	present	covered	covered	man-bash-posix-09-return-exit	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.EXPORT	5	builtin.command	builtin	export	present	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.FALSE	5	builtin.command	builtin	false	extension	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.FC	5	builtin.command	builtin	fc	extension	covered	covered	man-ash-fc	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.FG	5	builtin.command	builtin	fg	extension	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.GETOPTS	5	builtin.command	builtin	getopts	present	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.HASH	5	builtin.command	builtin	hash	present	covered	covered	man-bash-posix-02-path-command	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.HELP	5	builtin.command	builtin	help	extension	covered	covered	bash-builtin-help	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.HISTORY	5	builtin.command	builtin	history	extension	covered	covered	man-bash-posix-12-history-suspend-logout	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.JOBS	5	builtin.command	builtin	jobs	extension	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.KILL	5	builtin.command	builtin	kill	extension	covered	covered	man-bash-posix-03-io-signals	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.LET	5	builtin.command	builtin	let	extension	covered	covered	man-bash-posix-11-extension-builtins-core	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.LOCAL	5	builtin.command	builtin	local	extension	covered	covered	bash-builtin-declare-typeset-local	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.LOGOUT	5	builtin.command	builtin	logout	extension	covered	covered	man-bash-posix-12-history-suspend-logout	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.MAPFILE	5	builtin.command	builtin	mapfile	extension	covered	covered	bash-compat-mapfile-readarray	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.POPD	5	builtin.command	builtin	popd	extension	covered	covered	bash-builtin-dirstack	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.PRINTF	5	builtin.command	builtin	printf	extension	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.PUSHD	5	builtin.command	builtin	pushd	extension	covered	covered	bash-builtin-dirstack	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.PWD	5	builtin.command	builtin	pwd	present	covered	covered	man-bash-posix-02-path-command	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.READ	5	builtin.command	builtin	read	extension	covered	covered	man-bash-posix-03-io-signals	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.READARRAY	5	builtin.command	builtin	readarray	extension	covered	covered	bash-compat-mapfile-readarray	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.READONLY	5	builtin.command	builtin	readonly	present	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.RETURN	5	builtin.command	builtin	return	present	covered	covered	man-bash-posix-09-return-exit	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.SET	5	builtin.command	builtin	set	present	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.SHIFT	5	builtin.command	builtin	shift	present	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.SHOPT	5	builtin.command	builtin	shopt	extension	covered	covered	man-bash-posix-11-extension-builtins-core	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.SOURCE	5	builtin.command	builtin	source	extension	covered	covered	man-bash-posix-05-dot-source	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.SUSPEND	5	builtin.command	builtin	suspend	extension	covered	covered	man-bash-posix-12-history-suspend-logout	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.TEST	5	builtin.command	builtin	test	present	covered	covered	man-bash-posix-03-io-signals	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.TIMES	5	builtin.command	builtin	times	present	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.TRAP	5	builtin.command	builtin	trap	present	covered	covered	man-bash-posix-03-io-signals	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.TRUE	5	builtin.command	builtin	true	extension	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.TYPE	5	builtin.command	builtin	type	extension	covered	covered	man-bash-posix-02-path-command	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.TYPESET	5	builtin.command	builtin	typeset	extension	covered	covered	bash-builtin-declare-typeset-local	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.ULIMIT	5	builtin.command	builtin	ulimit	extension	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.UMASK	5	builtin.command	builtin	umask	present	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.UNALIAS	5	builtin.command	builtin	unalias	present	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.UNSET	5	builtin.command	builtin	unset	present	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
C5.BUILTIN.WAIT	5	builtin.command	builtin	wait	present	covered	covered	man-bash-posix-03-io-signals	Seeded from tests/compat/bash_posix_man_coverage.tsv
C6.SPARAM.01	6	variables.special-parameters	variable	$*	present	unknown	unknown		
C6.SPARAM.02	6	variables.special-parameters	variable	$@	present	unknown	unknown		
C6.SPARAM.03	6	variables.special-parameters	variable	$#	present	unknown	unknown		
C6.SPARAM.04	6	variables.special-parameters	variable	$?	present	unknown	unknown		
C6.SPARAM.05	6	variables.special-parameters	variable	$-	present	unknown	unknown		
C6.SPARAM.06	6	variables.special-parameters	variable	$$	present	unknown	unknown		
C6.SPARAM.07	6	variables.special-parameters	variable	$!	present	unknown	unknown		
C6.SPARAM.08	6	variables.special-parameters	variable	$0	present	unknown	unknown		
C6.SPARAM.09	6	variables.special-parameters	variable	$1..$N	present	unknown	unknown		
C6.VAR.CORE.HOME	6	variables.posix-core	variable	HOME	present	unknown	unknown		
C6.VAR.CORE.PATH	6	variables.posix-core	variable	PATH	present	unknown	unknown		
C6.VAR.CORE.IFS	6	variables.posix-core	variable	IFS	present	unknown	unknown		
C6.VAR.CORE.PWD	6	variables.posix-core	variable	PWD	present	unknown	unknown		
C6.VAR.CORE.OLDPWD	6	variables.posix-core	variable	OLDPWD	present	unknown	unknown		
C6.VAR.CORE.OPTIND	6	variables.posix-core	variable	OPTIND	present	unknown	unknown		
C6.VAR.CORE.OPTARG	6	variables.posix-core	variable	OPTARG	present	unknown	unknown		
C6.VAR.CORE.PS1	6	variables.posix-core	variable	PS1	present	unknown	unknown		
C6.VAR.CORE.PS2	6	variables.posix-core	variable	PS2	present	unknown	unknown		
C6.VAR.CORE.MAIL	6	variables.posix-core	variable	MAIL	present	unknown	unknown		
C6.VAR.CORE.MAILPATH	6	variables.posix-core	variable	MAILPATH	present	unknown	unknown		
C6.VAR.CORE.LANG	6	variables.posix-core	variable	LANG	present	unknown	unknown		
C6.VAR.CORE.LC_ALL	6	variables.posix-core	variable	LC_ALL	present	unknown	unknown		
C6.VAR.CORE.LC_CTYPE	6	variables.posix-core	variable	LC_CTYPE	present	unknown	unknown		
C6.VAR.CORE.LC_MESSAGES	6	variables.posix-core	variable	LC_MESSAGES	present	unknown	unknown		
C6.VAR.CORE.LINENO	6	variables.posix-core	variable	LINENO	present	unknown	unknown		
C6.VAR.CORE.ENV	6	variables.posix-core	variable	ENV	present	unknown	unknown		
C6.VAR.BASH.BASH	6	variables.bash-extension	variable	BASH	extension	unknown	unknown		
C6.VAR.BASH.BASH_VERSION	6	variables.bash-extension	variable	BASH_VERSION	extension	unknown	unknown		
C6.VAR.BASH.BASH_VERSINFO	6	variables.bash-extension	variable	BASH_VERSINFO	extension	unknown	unknown		
C6.VAR.BASH.BASH_SOURCE	6	variables.bash-extension	variable	BASH_SOURCE	extension	unknown	unknown		
C6.VAR.BASH.BASH_LINENO	6	variables.bash-extension	variable	BASH_LINENO	extension	unknown	unknown		
C6.VAR.BASH.BASH_COMMAND	6	variables.bash-extension	variable	BASH_COMMAND	extension	unknown	unknown		
C6.VAR.BASH.BASH_SUBSHELL	6	variables.bash-extension	variable	BASH_SUBSHELL	extension	unknown	unknown		
C6.VAR.BASH.BASHPID	6	variables.bash-extension	variable	BASHPID	extension	unknown	unknown		
C6.VAR.BASH.BASHOPTS	6	variables.bash-extension	variable	BASHOPTS	extension	unknown	unknown		
C6.VAR.BASH.SHELLOPTS	6	variables.bash-extension	variable	SHELLOPTS	extension	unknown	unknown		
