req_id	source_section	compat_level	item_index	subcategory	owner	phase	feature	mctash_default	mctash_posix	tests	notes
BCOMPAT.44.001	COMPAT	44	1	compat-delta	runtime	exec	the shell sets up the values used by BASH_ARGV and BASH_ARGC so they can expand to the shell's positional parameters even if extended debug mode is not enabled	partial	partial	bash-compat-doc-44-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat44 item 1; compatibility deltas are cumulative.
BCOMPAT.44.002	COMPAT	44	2	compat-delta	runtime	exec	a subshell inherits loops from its parent context, so `break' or `continue' will cause the subshell to exit. Bash-5.0 and later reset the loop state to prevent the exit	partial	partial	bash-compat-doc-44-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat44 item 2; compatibility deltas are cumulative.
BCOMPAT.44.003	COMPAT	44	3	compat-delta	runtime	exec	variable assignments preceding builtins like export and readonly that set attributes continue to affect variables with the same name in the calling environment even if the shell is not in posix mode	partial	partial	bash-compat-doc-44-003.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat44 item 3; compatibility deltas are cumulative.
BCOMPAT.50.001	COMPAT	50	1	compat-delta	runtime	exec	Bash-5.1 changed the way $RANDOM is generated to introduce slightly more randomness. If the shell compatibility level is set to 50 or lower, it reverts to the method from bash-5.0 and previous versions, so seeding the random number generator by assigning a value to RANDOM will produce the same sequence as in bash-5.0	partial	partial	bash-compat-doc-50-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat50 (set using BASH_COMPAT) item 1; compatibility deltas are cumulative.
BCOMPAT.50.002	COMPAT	50	2	compat-delta	runtime	exec	If the command hash table is empty, bash versions prior to bash-5.1 printed an informational message to that effect even when writing output in a format that can be reused as input (-l). Bash-5.1 suppresses that message if -l is supplied	partial	partial	bash-compat-doc-50-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat50 (set using BASH_COMPAT) item 2; compatibility deltas are cumulative.
BCOMPAT.50.003	COMPAT	50	3	compat-delta	runtime	exec	Bash-5.1 and later use pipes for here-documents and here-strings if they are smaller than the pipe capacity. If the shell compatibility level is set to 50 or lower, it reverts to using temporary files.	partial	partial	bash-compat-doc-50-003.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat50 (set using BASH_COMPAT) item 3; compatibility deltas are cumulative.
BCOMPAT.51.001	COMPAT	51	1	compat-delta	runtime	exec	The `unset' builtin will unset the array a given an argument like `a[@]'. Bash-5.2 will unset an element with key `@' (associative arrays) or remove all the elements without unsetting the array (indexed arrays)	partial	partial	bash-compat-doc-51-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 1; compatibility deltas are cumulative.
BCOMPAT.51.002	COMPAT	51	2	compat-delta	expand	expand	arithmetic commands ( ((...)) ) and the expressions in an arithmetic for statement can be expanded more than once	partial	partial	bash-compat-doc-51-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 2; compatibility deltas are cumulative.
BCOMPAT.51.003	COMPAT	51	3	compat-delta	expand	expand	expressions used as arguments to arithmetic operators in the [[ conditional command can be expanded more than once	partial	partial	bash-compat-doc-51-003.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 3; compatibility deltas are cumulative.
BCOMPAT.51.004	COMPAT	51	4	compat-delta	expand	expand	indexed and associative array subscripts used as arguments to the operators in the [[ conditional command (e.g., `[[ -v') can be expanded more than once. Bash-5.2 behaves as if the `assoc_expand_once' option were enabled.	partial	partial	bash-compat-doc-51-004.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 4; compatibility deltas are cumulative.
BCOMPAT.51.005	COMPAT	51	5	compat-delta	expand	expand	the expressions in substring parameter brace expansion can be expanded more than once	partial	partial	bash-compat-doc-51-005.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 5; compatibility deltas are cumulative.
BCOMPAT.51.006	COMPAT	51	6	compat-delta	expand	expand	the expressions in the $(( ... )) word expansion can be expanded more than once	partial	partial	bash-compat-doc-51-006.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 6; compatibility deltas are cumulative.
BCOMPAT.51.007	COMPAT	51	7	compat-delta	expand	expand	arithmetic expressions used as indexed array subscripts can be expanded more than once;	partial	partial	bash-compat-doc-51-007.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 7; compatibility deltas are cumulative.
BCOMPAT.51.008	COMPAT	51	8	compat-delta	runtime	exec	`test -v', when given an argument of A[@], where A is an existing associative array, will return true if the array has any set elements. Bash-5.2 will look for a key named `@';	partial	partial	bash-compat-doc-51-008.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 8; compatibility deltas are cumulative.
BCOMPAT.51.009	COMPAT	51	9	compat-delta	expand	expand	the ${param[:]=value} word expansion will return VALUE, before any variable-specific transformations have been performed (e.g., converting to lowercase). Bash-5.2 will return the final value assigned to the variable, as POSIX specifies;	partial	partial	bash-compat-doc-51-009.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 9; compatibility deltas are cumulative.
BCOMPAT.51.010	COMPAT	51	10	compat-delta	parser	parse	Parsing command substitutions will act as if extended glob is enabled, so that parsing a command substitution containing an extglob pattern (say, as part of a shell function) will not fail. This assumes the intent is to enable extglob before the command is executed and word expansions are performed. It will fail at word expansion time if extglob hasn't been enabled by the time the command is executed.	partial	partial	bash-compat-doc-51-010.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 10; compatibility deltas are cumulative.
BCOMPAT.52.001	COMPAT	52	1	compat-delta	parser	parse	the test builtin uses its historical algorithm for parsing expressions composed of five or more primaries.	partial	partial	bash-compat-doc-52-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat52 (set using BASH_COMPAT) item 1; compatibility deltas are cumulative.
BCOMPAT.52.002	COMPAT	52	2	compat-delta	runtime	interactive	the -p and -P options to the bind builtin treat remaining arguments as bindable command names for which to print any key bindings	partial	partial	bash-compat-doc-52-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat52 (set using BASH_COMPAT) item 2; compatibility deltas are cumulative.
BCOMPAT.52.003	COMPAT	52	3	compat-delta	runtime	interactive	interactive shells will notify the user of completed jobs while sourcing a script. Newer versions defer notification until script execution completes.	partial	partial	bash-compat-doc-52-003.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat52 (set using BASH_COMPAT) item 3; compatibility deltas are cumulative.
