topic	req_id	source	source_ref	mctash_default	mctash_posix	tests	feature	notes
builtin:unset	BCOMPAT.51.001	bash-compat-doc	bash/COMPAT level 51 item 1	covered	covered	bash-compat-doc-51-001.sh	The `unset' builtin will unset the array a given an argument like `a[@]'. Bash-5.2 will unset an element with key `@' (associative arrays) or remove all the elements without unsetting the array (indexed arrays)	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
subcategory:compat-delta	BCOMPAT.41.001	bash-compat-doc	bash/COMPAT level 41 item 1	covered	covered	bash-compat-doc-41-001.sh	in posix mode, `time' may be followed by options and still be recognized as a reserved word (this is POSIX interpretation 267)	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
subcategory:compat-delta	BCOMPAT.44.001	bash-compat-doc	bash/COMPAT level 44 item 1	covered	covered	bash-compat-doc-44-001.sh	the shell sets up the values used by BASH_ARGV and BASH_ARGC so they can expand to the shell's positional parameters even if extended debug mode is not enabled	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
subcategory:compat-delta	BCOMPAT.51.005	bash-compat-doc	bash/COMPAT level 51 item 5	covered	covered	bash-compat-doc-51-005.sh	the expressions in substring parameter brace expansion can be expanded more than once	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
syntax:arithmetic	BCOMPAT.51.002	bash-compat-doc	bash/COMPAT level 51 item 2	covered	covered	bash-compat-doc-51-002.sh	arithmetic commands ( ((...)) ) and the expressions in an arithmetic for statement can be expanded more than once	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
syntax:arithmetic	BCOMPAT.51.007	bash-compat-doc	bash/COMPAT level 51 item 7	covered	covered	bash-compat-doc-51-007.sh	arithmetic expressions used as indexed array subscripts can be expanded more than once;	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
syntax:command-substitution	BCOMPAT.51.006	bash-compat-doc	bash/COMPAT level 51 item 6	covered	covered	bash-compat-doc-51-006.sh	the expressions in the $(( ... )) word expansion can be expanded more than once	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
syntax:parameter-expansion	BCOMPAT.41.002	bash-compat-doc	bash/COMPAT level 41 item 2	covered	covered	bash-compat-doc-41-002.sh	in posix mode, the parser requires that an even number of single quotes occur in the `word' portion of a double-quoted ${...} parameter expansion and treats them specially, so that characters within the single quotes are considered quoted (this is POSIX interpretation 221)	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
syntax:parameter-expansion	BCOMPAT.42.002	bash-compat-doc	bash/COMPAT level 42 item 2	covered	covered	bash-compat-doc-42-002.sh	in posix mode, single quotes are considered special when expanding the `word' portion of a double-quoted ${...} parameter expansion and can be used to quote a closing brace or other special character (this is part of POSIX interpretation 221); in later versions, single quotes are not special within double-quoted word expansions	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
syntax:quoting	BCOMPAT.42.001	bash-compat-doc	bash/COMPAT level 42 item 1	covered	covered	bash-compat-doc-42-001.sh	the replacement string in double-quoted pattern substitution is not run through quote removal, as it is in versions after bash-4.2	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
